responseid,interview_start,interview_end,gender,colour_plus,region,list,Q1_1,Q1_2,Q1_3,Q1_4,Q1_99,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q4,Q4_98_other,Q4b_1,Q4b_2,Q4b_3,Q4b_4,Q4b_98,Q4b_98_recoded,Q4b_98_other,Q4b_5,Q4b_6,Q4b_7,Q4b_8,Q4b_9,Q4b_10,Q4b_99,Q5_1,Q5_2,Q5_3,Q5_4,Q5_99,Q6ax1_1,Q6ax1_2,Q6ax1_3,Q6ax2_1,Q6ax2_2,Q6ax2_3,Q6ax3_1,Q6ax3_2,Q6ax3_3,Q6ax4_1,Q6ax4_2,Q6ax4_3,Q6bx1_1,Q6bx1_2,Q6bx1_3,Q6bx2_1,Q6bx2_2,Q6bx2_3,Q6bx3_1,Q6bx3_2,Q6bx3_3,Q6bx4_1,Q6bx4_2,Q6bx4_3,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_99,Q9,Q10_1,Q10_2,oQ11,Q13,Q13_98_other,Q13_1,Q13_2,Q13_3,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_98,Q14_98_other,Q14_99,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_98,Q15_98_other,Q15_99,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q18a_1,Q18a_2,Q18a_3,Q18a_4,Q18a_5,Q18a_6,Q18a_7,Q18a_8,Q18a_9,Q18a_99,Q17_1,Q17_2,Q17_3,Q18,Q19,Q20,Q21,Q21_98_other,Q22,Q22_98_other,Q23,AgeBand,Q24
943,29/11/2024,29/11/2024,Male,GREY,METROPOLITAN,Main,1,0,0,0,0,"Less than 10,000",0,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,,1,0,0,1,0,3,4,4,,,,,,,,,,0 - Weekend days,1,2,,,,,,,,,,Strongly agree,Neither agree nor disagree,Strongly disagree,0,0,1,Not at all familiar,Strongly disagree,Strongly disagree,,,,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,Freestanding house,,Own outright,,99,65+,Prefer not to say
958,29/11/2024,29/11/2024,Not Stated,PURPLE,REGIONAL,EV,0,1,0,0,0,"20,001-50,000",1,1,0,1,0,At home,,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,3,4,5,,,,,,,,,,2,1,2,,,,,,,Strongly agree,Strongly agree,Somewhat agree,1,1,0,Somewhat familiar,Strongly agree,Strongly agree,,Next 3-5 years,,0,0,0,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1,Very interested,Very interested,Very interested,Neither interested nor uninterested,Fairly interested,Very interested,Fairly interested,Fairly interested,Neither interested nor uninterested,1,0,1,0,0,1,1,0,1,0,1,2,3,"Discharge to my home only, to reduce my energy bills",2,5 or more,Freestanding house,,Own outright,,54,45-54 years,Prefer not to say
959,29/11/2024,29/11/2024,Male,GREY,METROPOLITAN,EV,0,1,0,0,0,"20,001-50,000",0,0,1,0,0,"At a public charger (e.g. shopping centre, petrol station)",,0,1,1,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,5,2,4,,,,,,,,,,1,1,1,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,0,0,1,Very familiar,Strongly agree,Strongly agree,If my car is being used as grid infrastructure (storage) I expect to be appropriately compensated for this. At least a 75% split of the financial benefits as I have supplied the bulk of the capital (compared to the cost of software to manage spread across a large number of users),Next 1-2 years,,0,0,0,1,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,not being appropriately compensated for time shifting supply of power,0,Fairly interested,Fairly interested,Fairly interested,Neither interested nor uninterested,Fairly interested,Very interested,Very interested,Neither interested nor uninterested,Not at all interested,0,0,1,0,1,1,0,0,0,0,2,1,3,Discharge to my home AND discharge to the grid once a week for a moderate financial benefit,2,2,Apartment/unit,,Own with mortgage,,48,45-54 years,"$4000+ a week / $208,000+ a year"
964,29/11/2024,1/12/2024,Male,PURPLE,REGIONAL,Boost - 30 to 50,1,0,0,0,0,"10,000-20,000",1,1,0,1,0,,,,,,,,,,0,0,0,0,0,0,,0,0,1,0,0,0 - Weekdays,3,5,,,,,,,,,,1,2,2,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,0,0,1,Not at all familiar,Somewhat agree,Somewhat agree,I have been waiting until electric charging and batteries have had some time in service.  History of batteies is they fail over time. I am also worried about battery fire.,Next 3-5 years,,0,0,0,0,1,0,1,0,0,0,1,0,,0,1,1,0,0,0,0,1,0,0,0,0,,0,Fairly uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,0,0,0,0,0,0,0,0,0,1,1,2,3,"Discharge to my home only, to reduce my energy bills",5,4,Freestanding house,,Own with mortgage,,49,45-54 years,"$4000+ a week / $208,000+ a year"
966,29/11/2024,29/11/2024,Male,GREY,REGIONAL,EV,0,1,0,0,0,"10,000-20,000",0,0,1,0,0,"At a public charger (e.g. shopping centre, petrol station)",,0,0,0,1,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,4,4,5,,,,,,,,,,1,1,2,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,0,0,1,Somewhat familiar,Somewhat agree,Somewhat agree,"INterested in how using V2G will impact on battery life, and how car manufacturers will treat this for warranty purposes",Next 3-5 years,,0,0,0,0,1,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,,0,Fairly interested,Fairly interested,Fairly interested,Fairly uninterested,Fairly uninterested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,0,0,0,0,1,1,0,0,0,0,2,1,3,Discharge to my home AND discharge to the grid once a week for a moderate financial benefit,5,3,Apartment/unit,,Own with mortgage,,47,45-54 years,"$4000+ a week / $208,000+ a year"
968,29/11/2024,29/11/2024,Male,CYAN,METROPOLITAN,Boost - Under 30,1,0,0,0,0,"10,000-20,000",1,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,1,0 - Weekdays,5,5,,,,,,,,,,1,2,2,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,0,0,1,Not at all familiar,Neither agree nor disagree,Strongly disagree,,,,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,1,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,Freestanding house,,Own with mortgage,,27,25-34 years,Prefer not to say
969,29/11/2024,29/11/2024,Female,RED,INTERSTATE,EV,1,1,0,0,0,"Less than 10,000",0,0,1,0,0,"At a public charger (e.g. shopping centre, petrol station)",,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,1,4,3,5,5,5,5,,,,,,,2,2,2,2,1,2,,,,,,,Neither agree nor disagree,Strongly agree,Somewhat agree,0,0,1,Not at all familiar,Strongly agree,Strongly agree,,As soon as possible,,0,0,0,0,1,0,1,0,1,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,,0,Fairly interested,Fairly interested,Fairly interested,Not at all interested,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Neither interested nor uninterested,0,1,1,0,1,1,1,1,1,0,1,2,3,Discharge to my home AND discharge to the grid most nights for the maximum financial benefit,7,2,Apartment/unit,,Rent,,38,35-44 years,"$3000-4000 a week / $156,000-$208,000 a year"
974,29/11/2024,29/11/2024,Male,PURPLE,REGIONAL,EV,0,1,0,0,0,"20,001-50,000",0,1,0,0,0,At home,,0,1,1,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,3,4,5,,,,,,,,,,1,1,2,,,,,,,Strongly agree,Strongly agree,Somewhat agree,1,0,0,Very familiar,Neither agree nor disagree,Neither agree nor disagree,,Next 3-5 years,,0,0,0,1,1,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,,0,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,0,0,0,0,0,0,0,0,0,1,1,2,3,None of these,5,2,Freestanding house,,Own outright,,53,45-54 years,"$2000-3000 a week / $104,000-$156,000 a year"
984,29/11/2024,29/11/2024,Male,LILAC,RURAL,EV,0,1,0,0,0,"10,000-20,000",0,1,0,0,0,At home,,0,1,1,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,5,5,5,,,,,,,,,,1,1,1,,,,,,,Strongly agree,Strongly agree,Strongly agree,1,1,0,Very familiar,Neither agree nor disagree,Neither agree nor disagree,,Don't know,,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,1,0,,0,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,0,0,0,0,0,0,0,0,0,1,1,2,3,"Discharge to my home only, to reduce my energy bills",8,2,Freestanding house,,Own outright,,0,Prefer not to say,"$1000-2000 a week / $52,000-$104,000 a year"
986,29/11/2024,29/11/2024,Male,LILAC,RURAL,Main,1,0,0,0,0,"20,001-50,000",0,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,,1,1,0,1,0,5,5,5,,,,,,,,,,2,2,2,,,,,,,,,,Strongly agree,Strongly agree,Somewhat agree,1,1,0,Somewhat familiar,Somewhat agree,Neither agree nor disagree,Might be the way of the future if EV technology is widely adopted but my feedback to the grid is currently limited by the energy company so how would this work,Other (please specify),Dependent on EV purchase,0,0,1,0,0,1,1,1,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,1,0,,0,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Fairly interested,Fairly interested,0,0,0,0,0,0,0,1,0,0,2,1,3,Discharge to my home AND discharge to the grid most nights for the maximum financial benefit,5,1,Freestanding house,,Own outright,,82,65+,"$1000-2000 a week / $52,000-$104,000 a year"
987,29/11/2024,2/12/2024,Female,ORANGE,RURAL,EV,1,1,0,0,0,"20,001-50,000",1,1,0,1,0,At home,,0,0,0,1,1,0,wherever our family is stopping for food or toilets on our trip,0,0,1,0,0,0,0,0,1,1,1,0,5,5,5,0 - Weekdays,3,5,,,,,,,2,2,2,1,2,2,,,,,,,Strongly agree,Strongly agree,Strongly agree,1,1,0,Somewhat familiar,Strongly agree,Strongly agree,,As soon as possible,,0,0,0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,,0,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested,1,1,1,0,0,1,1,1,1,0,2,1,3,Discharge to my home AND discharge to the grid most nights for the maximum financial benefit,1,4,Freestanding house,,Own with mortgage,,47,45-54 years,"$3000-4000 a week / $156,000-$208,000 a year"
988,29/11/2024,29/11/2024,Male,GREY,METROPOLITAN,EV,0,0,0,1,0,"Less than 10,000",0,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,,0,0,0,1,0,,,,,,,,,,3,5,5,,,,,,,,,,1,2,2,Strongly agree,Somewhat agree,Neither agree nor disagree,0,0,1,Not at all familiar,Somewhat disagree,Strongly disagree,,,,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Apartment/unit,,Own outright,,63,55-64 years,Prefer not to say
992,29/11/2024,29/11/2024,Male,GREY,REGIONAL,EV,0,1,0,0,0,"Less than 10,000",0,1,0,0,0,At home,,0,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,5,5,5,,,,,,,,,,2,2,2,,,,,,,Neither agree nor disagree,Strongly agree,Strongly disagree,1,1,0,Somewhat familiar,Neither agree nor disagree,Neither agree nor disagree,,Don't know,,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,0,0,1,0,,0,Not at all interested,Not at all interested,Neither interested nor uninterested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,0,0,0,0,0,0,0,0,0,1,1,2,3,Discharge to my home AND discharge to the grid during high demand events (3-4 times a year) to get a small financial benefit,5,2,Freestanding house,,Own outright,,81,65+,"$500-1000 a week / $26,000-$52,000 a year"
995,29/11/2024,29/11/2024,Female,LILAC,REGIONAL,Main,1,0,0,0,0,"10,000-20,000",0,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,1,5,5,5,,,,,,,,,,2,2,2,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,0,0,1,Not at all familiar,Neither agree nor disagree,Strongly disagree,,,,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,Freestanding house,,Own outright,,71,65+,"Less than $500 a week / Less than $26,000 a year"
1002,29/11/2024,29/11/2024,Male,PURPLE,METROPOLITAN,EV,0,1,0,0,0,"Less than 10,000",0,1,0,0,0,"At a public charger (e.g. shopping centre, petrol station)",,0,0,1,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,5,5,5,,,,,,,,,,0 - Weekend days,2,2,,,,,,,Strongly agree,Strongly agree,Strongly agree,0,0,1,Very familiar,Strongly agree,Strongly agree,,Next 1-2 years,,0,0,0,1,1,1,0,0,0,0,0,0,,0,1,1,1,0,0,0,0,0,0,0,0,,0,Very interested,Very interested,Very interested,Neither interested nor uninterested,Fairly interested,Fairly interested,Fairly interested,Neither interested nor uninterested,Neither interested nor uninterested,1,0,0,0,1,0,0,0,0,0,2,1,3,Discharge to my home AND discharge to the grid most nights for the maximum financial benefit,3,4,Freestanding house,,Own with mortgage,,45,45-54 years,"$3000-4000 a week / $156,000-$208,000 a year"
1009,29/11/2024,29/11/2024,Male,PURPLE,INTERSTATE,EV,0,0,1,1,0,"10,000-20,000",1,1,0,1,0,,,,,,,,,,0,0,0,0,0,0,,0,1,1,0,0,,,,,,,0 - Weekdays,5,5,0 - Weekdays,5,5,,,,,,,1,2,2,1,2,2,Strongly agree,Strongly agree,Somewhat agree,1,1,0,Very familiar,Strongly agree,Strongly agree,As long as it is robust and makes me money I'm all for it.,Next 1-2 years,,0,0,0,1,1,0,1,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,,0,Neither interested nor uninterested,Neither interested nor uninterested,Fairly interested,Neither interested nor uninterested,Fairly interested,Very interested,Very interested,Neither interested nor uninterested,Neither interested nor uninterested,0,1,0,0,1,1,1,1,0,0,3,1,2,Discharge to my home AND discharge to the grid most nights for the maximum financial benefit,3,4,Freestanding house,,Own with mortgage,,42,35-44 years,"$4000+ a week / $208,000+ a year"
1010,29/11/2024,29/11/2024,Male,KHAKI,REGIONAL,EV,1,0,0,0,0,"Less than 10,000",0,0,1,0,0,,,,,,,,,,0,0,0,0,0,0,,1,0,0,1,0,2,5,5,,,,,,,,,,1,2,2,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,0,0,1,Somewhat familiar,Somewhat agree,Strongly disagree,,,,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,Apartment/unit,,Own outright,,72,65+,Prefer not to say
1012,29/11/2024,29/11/2024,Male,GREY,REGIONAL,EV,1,0,0,1,0,"10,000-20,000",1,1,0,1,0,,,,,,,,,,0,0,0,0,0,0,,0,0,0,1,0,4,5,5,,,,,,,3,5,5,2,2,2,,,,,,,1,2,2,Strongly agree,Neither agree nor disagree,Somewhat agree,1,0,0,Not at all familiar,Strongly disagree,Strongly agree,"Yes, why should companies and governments charge us to use a natural, renewable energy source, it is wrong to charge for something they don’t own.",5+ years,,0,0,0,1,1,1,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,,0,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,0,0,0,0,0,0,0,0,0,1,1,2,3,"Discharge to my home only, to reduce my energy bills",1,4,Freestanding house,,Own outright,,65,65+,Prefer not to say
1013,29/11/2024,29/11/2024,Female,PURPLE,METROPOLITAN,Main,1,0,0,0,0,"Less than 10,000",1,1,0,1,0,,,,,,,,,,0,0,0,0,0,0,,1,0,0,0,0,5,5,5,,,,,,,,,,2,2,2,,,,,,,,,,Strongly agree,Somewhat disagree,Somewhat agree,0,0,1,Not at all familiar,Somewhat agree,Strongly disagree,I'm not confident that battery cars are that great for the environment,,,0,0,0,1,1,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,1,Environment,0,,,,,,,,,,,,,,,,,,,,,,,,,2,Freestanding house,,Other (please specify),None of your business,56,55-64 years,Prefer not to say
1014,29/11/2024,29/11/2024,Male,GREY,METROPOLITAN,EV,0,1,0,0,0,"Less than 10,000",0,1,0,0,0,At home,,0,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,1,,,,2,4,4,,,,,,,,,,1,1,2,,,,,,,Neither agree nor disagree,Strongly agree,Strongly disagree,1,1,0,Somewhat familiar,Somewhat agree,Somewhat agree,,Next 1-2 years,,0,0,0,0,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,0,,0,Very interested,Very interested,Very interested,Neither interested nor uninterested,Fairly interested,Fairly interested,Very interested,Very interested,Fairly interested,1,1,1,0,1,1,1,1,1,0,1,2,3,"Discharge to my home only, to reduce my energy bills",2,1,Freestanding house,,Own outright,,72,65+,"$2000-3000 a week / $104,000-$156,000 a year"
1015,29/11/2024,29/11/2024,Male,BROWN,REGIONAL,Boost - 30 to 50,1,0,0,0,0,"10,000-20,000",1,1,0,1,0,,,,,,,,,,0,0,0,0,0,0,,1,0,1,0,0,3,3,5,,,,,,,,,,1,2,2,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,1,0,0,Somewhat familiar,Somewhat agree,Neither agree nor disagree,,Don't know,,0,0,0,1,0,0,1,0,0,1,0,0,,0,1,0,0,0,1,0,1,0,0,0,0,,0,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Fairly interested,Fairly interested,1,0,1,0,1,0,0,0,0,0,2,1,3,"Discharge to my home only, to reduce my energy bills",5,4,Freestanding house,,Own with mortgage,,42,35-44 years,"$3000-4000 a week / $156,000-$208,000 a year"
1017,29/11/2024,29/11/2024,Male,KHAKI,REGIONAL,EV,1,1,0,0,0,"10,000-20,000",1,1,0,0,0,At home,,0,0,0,1,0,,,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,2,5,5,,,,,,,2,2,2,1,2,2,,,,,,,Strongly agree,Strongly agree,Strongly agree,1,0,0,Somewhat familiar,Strongly agree,Strongly agree,,As soon as possible,,0,0,0,0,1,1,1,0,0,0,0,0,,0,1,0,1,0,0,0,0,1,0,0,0,,0,Very interested,Very interested,Fairly interested,Neither interested nor uninterested,Very interested,Very interested,Very interested,Fairly interested,Fairly interested,1,1,1,0,1,1,0,1,1,0,2,1,3,Discharge to my home AND discharge to the grid during high demand events (3-4 times a year) to get a small financial benefit,5,2,Freestanding house,,Own outright,,74,65+,"$2000-3000 a week / $104,000-$156,000 a year"
1021,29/11/2024,29/11/2024,Not Stated,PURPLE,REGIONAL,EV,1,1,0,0,0,"10,000-20,000",1,1,0,1,0,At home,,0,0,0,1,0,,,0,0,0,0,0,0,0,0,1,0,0,0,1,5,5,3,5,5,,,,,,,2,2,2,0 - Weekend days,1,2,,,,,,,Strongly agree,Somewhat agree,Strongly agree,1,0,0,Somewhat familiar,Strongly agree,Somewhat agree,,As soon as possible,,0,0,0,0,1,1,1,0,0,0,0,0,,0,1,0,0,0,1,1,0,0,0,0,0,,0,Fairly interested,Fairly uninterested,Very interested,Fairly uninterested,Neither interested nor uninterested,Very interested,Fairly uninterested,Neither interested nor uninterested,Fairly interested,0,0,1,0,0,1,0,0,1,0,1,2,3,"Discharge to my home only, to reduce my energy bills",6,3,Freestanding house,,Own with mortgage,,41,35-44 years,Prefer not to say
1023,29/11/2024,29/11/2024,Male,LILAC,REGIONAL,Main,0,0,0,1,0,"10,000-20,000",1,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,,0,0,0,1,0,,,,,,,,,,1,1,1,,,,,,,,,,1,1,1,Somewhat agree,Somewhat agree,Somewhat agree,0,0,1,Somewhat familiar,Somewhat agree,Neither agree nor disagree,,Don't know,,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,Neither interested nor uninterested,Fairly interested,Fairly interested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,0,1,0,1,0,0,0,0,0,0,3,1,2,"Discharge to my home only, to reduce my energy bills",5,2,Other (please specify),Retirement unit,Own outright,,79,65+,"$500-1000 a week / $26,000-$52,000 a year"
1024,29/11/2024,29/11/2024,Male,KHAKI,RURAL,EV,0,1,0,0,0,"Less than 10,000",0,1,0,0,0,At home,,0,0,0,0,1,0,Tesla Superchargers,1,0,0,0,0,0,0,0,1,0,0,0,,,,4,4,0 - Weekdays,,,,,,,,,,2,2,2,,,,,,,Strongly agree,Strongly agree,Strongly agree,1,1,0,Somewhat familiar,Strongly agree,Neither agree nor disagree,It is the future,Don't know,,0,0,0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1,Fairly interested,Fairly interested,Fairly interested,Fairly interested,Neither interested nor uninterested,Fairly interested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,0,0,0,0,0,0,0,0,0,1,1,2,3,"Discharge to my home only, to reduce my energy bills",5,2,Freestanding house,,Own outright,,73,65+,"$2000-3000 a week / $104,000-$156,000 a year"
1025,29/11/2024,29/11/2024,Male,GREY,METROPOLITAN,EV,0,0,0,1,0,"10,000-20,000",1,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,,0,1,0,0,0,,,,,,,,,,2,3,5,,,,,,,,,,0 - Weekend days,1,2,Strongly disagree,Neither agree nor disagree,Strongly disagree,1,0,0,Very familiar,Neither agree nor disagree,Neither agree nor disagree,,Don't know,,0,0,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,,0,Neither interested nor uninterested,Neither interested nor uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,Fairly uninterested,0,0,0,0,0,0,0,0,0,1,2,1,3,"Discharge to my home only, to reduce my energy bills",8,2,Freestanding house,,Own outright,,68,65+,"$4000+ a week / $208,000+ a year"
1026,29/11/2024,29/11/2024,Female,ORANGE,METROPOLITAN,EV,1,1,0,0,0,"20,001-50,000",1,1,0,1,0,At home,,0,0,0,0,1,0,A charger enroute during holiday trips,0,0,1,0,0,0,0,1,1,0,0,0,3,5,5,1,4,5,,,,,,,0 - Weekend days,1,2,1,2,2,,,,,,,Somewhat agree,Strongly agree,Neither agree nor disagree,1,1,0,Somewhat familiar,Somewhat agree,Neither agree nor disagree,,Next 3-5 years,,0,0,0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,1,0,,0,Fairly interested,Fairly interested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Fairly interested,Fairly interested,0,0,0,0,0,0,0,1,1,0,1,2,3,"Discharge to my home only, to reduce my energy bills",5,3,Freestanding house,,Own outright,,58,55-64 years,"$3000-4000 a week / $156,000-$208,000 a year"
1028,29/11/2024,29/11/2024,Male,PURPLE,RURAL,EV,1,0,0,0,0,"10,000-20,000",1,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,1,5,2,3,,,,,,,,,,1,1,1,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,0,0,1,Somewhat familiar,Somewhat agree,Neither agree nor disagree,,I rent and am not able to get V2G installed,,0,0,0,0,1,1,0,0,1,0,0,0,,0,1,0,0,0,0,1,1,0,0,0,0,,0,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,0,0,0,0,0,0,0,0,0,1,3,1,2,Discharge to my home AND discharge to the grid most nights for the maximum financial benefit,2,2,Freestanding house,,Rent,,45,45-54 years,"$3000-4000 a week / $156,000-$208,000 a year"
1029,29/11/2024,29/11/2024,Not Stated,UNKNOWN,INTERSTATE,Boost - 30 to 50,0,0,0,0,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Strongly agree,Strongly agree,0,0,1,Very familiar,Strongly agree,Strongly agree,,As soon as possible,,0,0,0,0,1,1,0,1,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,0,,0,Very interested,Very interested,Very interested,Fairly interested,Very interested,Fairly interested,Very interested,Very interested,Very interested,1,1,0,0,1,0,1,0,1,0,3,1,2,Discharge to my home AND discharge to the grid most nights for the maximum financial benefit,3,1,Apartment/unit,,Own with mortgage,,40,35-44 years,"$4000+ a week / $208,000+ a year"
1030,29/11/2024,29/11/2024,Male,GREY,REGIONAL,EV,0,1,0,0,0,"20,001-50,000",0,1,0,0,0,At home,,0,1,1,1,0,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,3,4,5,,,,,,,,,,1,1,2,,,,,,,Somewhat agree,Strongly agree,Neither agree nor disagree,1,0,0,Very familiar,Somewhat agree,Neither agree nor disagree,,Don't know,,0,0,0,0,1,0,1,1,0,0,0,0,,0,0,0,0,0,1,0,1,0,0,1,0,,0,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,Neither interested nor uninterested,0,0,0,0,0,0,0,0,0,1,1,2,3,"Discharge to my home only, to reduce my energy bills",5,2,Freestanding house,,Own outright,,70,65+,"$1000-2000 a week / $52,000-$104,000 a year"
1031,29/11/2024,29/11/2024,Female,LILAC,RURAL,Main,1,0,0,0,0,"Less than 10,000",0,1,0,0,0,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,1,4,5,4,,,,,,,,,,2,2,1,,,,,,,,,,Strongly agree,Strongly agree,Neither agree nor disagree,0,0,1,Not at all familiar,Somewhat agree,Strongly disagree,,,,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,Freestanding house,,Rent,,66,65+,"$500-1000 a week / $26,000-$52,000 a year"
